fbias,lbias,fin,fp,lin,lp,vcmo,mamp,cload,cin,cout,gain,gm,pole1,rout,zero,cmo,pwr,swingn,swingp
24,0.00000032,65,160,0.00000044,0.00000058,0.42,72,1.00E-012,2.77E-013,7.62E-014,47.5874,0.00122553,9857370,195453,5448050000,0.415606,-0.000332129,0.329918,0.494432
66,0.00000022,185,115,0.00000039,0.00000036,0.6,58,1.00E-012,8.39E-013,9.78E-014,46.1803,0.00394751,29827700,51604.7,5998770000,0.594557,-0.00110371,0.508888,0.275479
40,0.00000058,70,165,0.00000008,0.00000048,0.44,6,1.00E-012,2.58E-013,7.97E-014,38.7475,0.00944455,150656000,9166.27,124466000000,0.429587,-0.00245928,0.344329,0.379993
87,0.00000032,180,160,0.00000035,0.00000054,0.52,3,1.00E-012,9.59E-013,1.2E-013,48.2081,0.00430858,20293100,59713.6,8403850000,0.512619,-0.00116436,0.426978,0.347008
81,0.00000052,85,35,0.00000005,0.00000037,0.52,100,1.00E-012,7.9E-014,5.48E-014,18.5729,0.0117923,3498380000,719.527,281004000000,0.151102,-0.00493625,0.0689398,0.419827
56,0.00000062,70,45,0.00000055,0.00000007,0.42,6,1.00E-012,3.15E-013,4.9E-014,32.2407,0.00108126,79044700,37853.5,2284330000,0.412325,-0.000303177,0.326597,0.525655
99,0.00000064,130,180,0.00000023,0.00000056,0.56,85,1.00E-012,6.47E-013,1.27E-013,48.7314,0.0049046,20500300,55714.1,19625300000,0.546498,-0.00124284,0.460955,0.309777
79,0.00000006,130,105,0.00000037,0.00000032,0.56,15,1.00E-012,5.49E-013,7.12E-014,12.3365,0.00293725,535152000,1408.91,9597210000,0.55626,-0.00243996,0.470604,0.329552
97,0.00000082,155,90,0.00000041,0.00000037,0.42,95,1.00E-012,7.4E-013,9.25E-014,49.1679,0.00313771,18088600,91576.5,4755220000,0.403777,-0.000798981,0.318105,0.463916
18,0.00000014,55,165,0.00000042,0.00000031,0.48,56,1.00E-012,2.1E-013,7.62E-014,41.3651,0.00109192,18369600,107168,5753200000,0.476565,-0.000343732,0.390885,0.453118
15,0.00000084,155,150,0.00000034,0.00000018,0.44,2,1.00E-012,5.2E-013,8.31E-014,46.8927,0.00384277,31959100,57542.5,6115920000,0.435429,-0.000913633,0.3498,0.476516
20,0.00000012,155,20,0.00000034,0.00000017,0.6,65,1.00E-012,5.57E-013,3.9E-014,42.9931,0.00378582,103784000,37281.6,4590080000,0.596413,-0.00101101,0.510772,0.216546
49,0.00000032,145,75,0.00000043,0.00000007,0.58,97,1.00E-012,5.26E-013,6.74E-014,32.9718,0.002741,134054000,16243.4,3797370000,0.574285,-0.000741782,0.488598,0.358236
64,0.00000056,125,150,0.00000037,0.00000031,0.42,56,1.00E-012,5.06E-013,9.62E-014,48.1723,0.0028296,17610500,90550,6371390000,0.411137,-0.000726804,0.325487,0.491254
18,0.00000086,150,185,0.00000011,0.00000027,0.5,18,1.00E-012,3.65E-013,9.8E-014,43.4684,0.013369,129784000,11151.2,71180700000,0.485682,-0.00329877,0.400363,0.356459
37,0.00000008,95,65,0.00000019,0.00000008,0.5,26,1.00E-012,1.96E-013,5.3E-014,29.8634,0.00441903,378130000,7044.35,15281000000,0.496546,-0.00147848,0.411078,0.417556
100,0.00000006,145,180,0.00000059,0.00000058,0.42,46,1.00E-012,9.25E-013,9.66E-014,7.0241,0.00201012,355408000,1116.82,5327130000,0.416182,-0.00271026,0.330443,0.481269
3,0.00000026,160,60,0.00000012,0.00000031,0.56,97,1.00E-012,4.21E-013,4.78E-014,43.5834,0.0124815,230150000,12103.2,63723200000,0.543882,-0.00310634,0.458444,0.183373
72,0.00000064,145,135,0.00000025,0.00000013,0.52,67,1.00E-012,3.78E-013,9.88E-014,43.5241,0.00499781,51870000,30021.1,10333900000,0.509712,-0.0012437,0.424156,0.402822
7,0.00000022,175,180,0.00000021,0.00000032,0.56,66,1.00E-012,5.76E-013,9.84E-014,48.2396,0.00730723,43134400,35336.9,22118500000,0.555962,-0.00175238,0.470438,0.311406
30,0.00000088,200,35,0.00000045,0.00000015,0.48,32,1.00E-012,8.19E-013,5.46E-014,46.679,0.00365834,47412700,58974.9,2842300000,0.472189,-0.000877732,0.386496,0.391735
30,0.0000006,60,180,0.00000023,0.00000048,0.6,69,1.00E-012,1.77E-013,9.27E-014,48.235,0.00227297,14049000,113541,20180600000,0.593728,-0.000566819,0.508171,0.306038
21,0.00000036,15,190,0.00000021,0.00000055,0.42,95,1.00E-012,2.85E-014,7.7E-014,44.6462,0.000630262,7121020,270886,21890400000,0.41564,-0.000185632,0.330172,0.515367
3,0.00000082,40,15,0.0000003,0.00000017,0.56,34,1.00E-012,1.35E-013,1.66E-014,46.2199,0.00112638,50742700,181682,6226010000,0.555204,-0.000271419,0.469594,0.317877
87,0.0000006,170,115,0.00000012,0.00000038,0.46,10,1.00E-012,5.13E-013,1.01E-013,44.6539,0.0133986,106965000,12753.7,59181000000,0.445119,-0.0033474,0.359874,0.324781
32,0.00000084,100,75,0.00000006,0.00000036,0.46,51,1.00E-012,1.69E-013,4.79E-014,30.6455,0.0181417,966445000,1877.58,208290000000,0.3187,-0.00540894,0.23376,0.340774
32,0.00000014,40,175,0.00000018,0.00000059,0.56,63,1.00E-012,8.17E-014,8.62E-014,41.2568,0.0019955,27246300,57914.4,31474700000,0.556217,-0.000628464,0.470729,0.339027
18,0.00000022,195,115,0.00000034,0.00000027,0.56,2,1.00E-012,7.41E-013,7.88E-014,48.3089,0.00481474,35439400,54059.3,7148030000,0.556123,-0.00118031,0.470485,0.319676
61,0.00000016,100,190,0.0000002,0.00000012,0.52,73,1.00E-012,2.22E-013,1.09E-013,39.4809,0.00442698,66162600,21278.3,20346400000,0.515455,-0.00129687,0.429962,0.410633
23,0.00000064,60,170,0.00000014,0.00000022,0.52,39,1.00E-012,1.32E-013,8.37E-014,44.7673,0.00401602,42276600,43109,46196400000,0.514247,-0.000989704,0.42885,0.392387
46,0.00000078,155,80,0.00000021,0.00000024,0.46,73,1.00E-012,4.66E-013,7.08E-014,47.7648,0.00644934,56553500,37907.5,18235800000,0.45051,-0.00156213,0.365028,0.395148
47,0.0000008,155,95,0.0000003,0.00000011,0.6,10,1.00E-012,4.47E-013,7.8E-014,41.8378,0.00434968,69599300,28407.5,6390990000,0.589069,-0.00106267,0.503456,0.323791
18,0.00000074,190,20,0.00000036,0.00000047,0.52,94,1.00E-012,8.23E-013,4.26E-014,48.0787,0.00415793,55659700,60961.5,6750440000,0.510886,-0.00103043,0.425238,0.149187
