Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
30,20e-6,40e-15,16,22e9,63.67,13.94,2.769,55.09,58.68,9.454
30,20e-6,40e-15,18,22e9,62.34,13.96,3.113,54.92,58.48,9.421
30,20e-6,40e-15,20,21.6e9,61.2,13.97,3.416,53.24,56.85,9.151
30,20e-6,70e-15,15,21.2e9,65.73,14.02,1.958,54.42,57.47,9.252
30,20e-6,70e-15,10,22e9,71.77,14,108.3e-3,56.4,59.14,9.53
30,20e-6,70e-15,12,22e9,68.71,14.01,968e-3,62.25,64.9,10.49
30,20e-6,70e-15,14,21.6e9,66.51,14.02,1.658,54.28,57.25,9.216
30,20e-6,70e-15,16,21.2e9,64.8,14.03,2.226,54.06,57.3,9.225
30,20e-6,70e-15,18,20.8e9,63.38,14.05,2.701,53.33,56.98,9.171
30,20e-6,70e-15,20,20.4e9,62.1,14.06,3.103,54.6,58.33,9.396
30,20e-6,100e-15,15,20.8e9,66.3,14.06,1.165,55.71,57.68,9.288
30,20e-6,100e-15,10,21.6e9,72.37,14.03,-1.039,58.76,59.42,9.577
30,20e-6,100e-15,12,21.2e9,69.32,14.04,-21.41e-3,60.82,62.38,10.07
30,20e-6,100e-15,14,20.8e9,67.09,14.05,801.1e-3,52.54,55.36,8.903
30,20e-6,100e-15,16,20.4e9,65.33,14.07,1.484,55.59,57.68,9.287
30,20e-6,100e-15,18,20.4e9,63.8,14.09,2.061,53.89,56.93,9.163
25,15e-6,10e-15,15,28.4e9,53.19,13.6,677.6e-3,54.77,58.45,9.415
25,15e-6,10e-15,10,29.6e9,59.94,13.64,-242.9e-3,53.84,57.53,9.264
25,15e-6,10e-15,12,29.2e9,56.29,13.63,191.4e-3,54.14,57.85,9.316
25,15e-6,10e-15,14,28.8e9,53.97,13.61,530.1e-3,54.7,58.39,9.406
25,15e-6,10e-15,16,28e9,52.51,13.59,810.3e-3,54.47,58.13,9.363
25,15e-6,10e-15,18,27.6e9,51.6,13.57,1.049,57.54,60.93,9.827
25,15e-6,10e-15,20,27.2e9,51.03,13.55,1.257,55.54,58.94,9.497
25,15e-6,10e-15,15,28.4e9,53.19,13.6,677.6e-3,54.77,58.45,9.415
25,15e-6,10e-15,10,29.6e9,59.94,13.64,-242.9e-3,53.84,57.53,9.264
25,15e-6,10e-15,12,29.2e9,56.29,13.63,191.4e-3,54.14,57.85,9.316
25,15e-6,10e-15,14,28.8e9,53.97,13.61,530.1e-3,54.7,58.39,9.406
25,15e-6,10e-15,16,28e9,52.51,13.59,810.3e-3,54.47,58.13,9.363
25,15e-6,10e-15,18,27.6e9,51.6,13.57,1.049,57.54,60.93,9.827
25,15e-6,10e-15,20,27.2e9,51.03,13.55,1.257,55.54,58.94,9.497
25,15e-6,40e-15,15,26.4e9,56.12,13.71,325.7e-3,52.53,56.22,9.045
25,15e-6,40e-15,10,27.6e9,62.21,13.75,-1.233,53.95,57.69,9.289
25,15e-6,40e-15,12,27.2e9,58.91,13.74,-495.9e-3,53.38,57.1,9.192
25,15e-6,40e-15,14,26.8e9,56.81,13.72,77.8e-3,52.62,56.32,9.062
25,15e-6,40e-15,16,26.4e9,55.45,13.7,541.1e-3,52.71,56.38,9.072
25,15e-6,40e-15,18,26e9,54.55,13.69,925.3e-3,54.12,57.75,9.299
25,15e-6,40e-15,20,25.6e9,53.93,13.68,1.251,56.22,59.78,9.637
25,15e-6,70e-15,15,25.2e9,57.83,13.77,-425.4e-3,53.99,57.07,9.187
25,15e-6,70e-15,10,26.4e9,63.58,13.8,-2.48,57.55,60.52,9.76
25,15e-6,70e-15,12,26e9,60.47,13.79,-1.52,56.2,59.02,9.51
25,15e-6,70e-15,14,25.6e9,58.47,13.78,-759.6e-3,54.73,57.68,9.288
25,15e-6,70e-15,16,25.2e9,57.15,13.77,-139e-3,53.42,56.62,9.111
25,15e-6,70e-15,18,24.8e9,56.24,13.76,379e-3,52.79,56.17,9.036
25,15e-6,70e-15,20,24e9,55.56,13.75,819.8e-3,56.54,59.69,9.622
25,15e-6,100e-15,15,24.4e9,58.84,13.8,-1.331,55.14,57.6,9.275
25,15e-6,100e-15,10,25.6e9,64.43,13.82,-3.736,57.47,59.35,9.566
25,15e-6,100e-15,12,25.2e9,61.41,13.82,-2.625,62.87,61.92,9.992
25,15e-6,100e-15,14,24.8e9,59.46,13.81,-1.731,57.7,59.42,9.577
25,15e-6,100e-15,16,24e9,58.15,13.8,-991e-3,53.43,56.23,9.047
25,15e-6,100e-15,18,23.6e9,57.21,13.79,-362e-3,51.68,54.8,8.81
25,15e-6,100e-15,20,23.2e9,56.49,13.79,176.2e-3,54.99,57.76,9.301
25,10e-6,10e-15,15,36.4e9,41.43,13.92,-1.095,53.92,57.63,9.279
25,10e-6,10e-15,10,38.4e9,50.86,13.9,-2.134,53.88,57.52,9.262
25,10e-6,10e-15,12,37.6e9,45.86,13.91,-1.636,53.91,57.59,9.272
25,10e-6,10e-15,14,36.4e9,42.59,13.92,-1.257,53.92,57.62,9.278
25,10e-6,10e-15,16,35.6e9,40.51,13.92,-952.9e-3,53.92,57.63,9.28
25,10e-6,10e-15,18,35.2e9,39.26,13.92,-699.9e-3,53.92,57.64,9.282
25,10e-6,10e-15,20,34.4e9,38.59,13.92,-483.4e-3,53.91,57.65,9.283
25,10e-6,10e-15,15,36.4e9,41.43,13.92,-1.095,53.92,57.63,9.279
25,10e-6,10e-15,10,38.4e9,50.86,13.9,-2.134,53.88,57.52,9.262
25,10e-6,10e-15,12,37.6e9,45.86,13.91,-1.636,53.91,57.59,9.272
25,10e-6,10e-15,14,36.4e9,42.59,13.92,-1.257,53.92,57.62,9.278
25,10e-6,10e-15,16,35.6e9,40.51,13.92,-952.9e-3,53.92,57.63,9.28
25,10e-6,10e-15,18,35.2e9,39.26,13.92,-699.9e-3,53.92,57.64,9.282
25,10e-6,10e-15,20,34.4e9,38.59,13.92,-483.4e-3,53.91,57.65,9.283
25,10e-6,40e-15,15,33.2e9,43.95,13.93,-1.672,53.96,57.69,9.29
25,10e-6,40e-15,10,35.2e9,52.16,13.92,-3.395,53.96,57.65,9.283
25,10e-6,40e-15,12,34.4e9,47.68,13.93,-2.573,53.96,57.67,9.286
25,10e-6,40e-15,14,33.6e9,44.88,13.93,-1.944,53.96,57.68,9.289
25,10e-6,40e-15,16,32.8e9,43.21,13.93,-1.444,53.96,57.7,9.29
25,10e-6,40e-15,18,32e9,42.26,13.92,-1.036,53.96,57.7,9.292
