CP_out_width,nor_n_width,nor_p_width,tspc_n_width,tspc_p_width,vdd,deadzone,power
7.2e-07,2.75e-07,4e-07,2.5e-07,4.4e-07,0.9,-3.5913e-14,0.0039856
7.2e-07,2.75e-07,4e-07,2.5e-07,4.4e-07,1.0,-1.6514e-12,0.0051754
7.2e-07,2.75e-07,4e-07,2.75e-07,3.6e-07,0.8,4.5937e-12,0.0030182
7.2e-07,2.75e-07,4e-07,2.75e-07,3.6e-07,0.9,2.0608e-13,0.00398
7.2e-07,2.75e-07,4e-07,2.75e-07,3.6e-07,1.0,-1.683e-12,0.0051683
7.2e-07,2.75e-07,4e-07,2.75e-07,4e-07,0.8,4.4283e-12,0.0030262
7.2e-07,2.75e-07,4e-07,2.75e-07,4e-07,0.9,2.0887e-13,0.0039899
7.2e-07,2.75e-07,4e-07,2.75e-07,4e-07,1.0,-1.5751e-12,0.0051812
7.2e-07,2.75e-07,4e-07,2.75e-07,4.4e-07,0.8,4.2911e-12,0.0030342
7.2e-07,2.75e-07,4e-07,2.75e-07,4.4e-07,0.9,2.0371e-13,0.0039998
7.2e-07,2.75e-07,4e-07,2.75e-07,4.4e-07,1.0,-1.4911e-12,0.0051941
7.2e-07,2.75e-07,4.4e-07,2.25e-07,3.6e-07,0.8,4.002e-12,0.0030017
7.2e-07,2.75e-07,4.4e-07,2.25e-07,3.6e-07,0.9,-2.7059e-13,0.0039554
7.2e-07,2.75e-07,4.4e-07,2.25e-07,3.6e-07,1.0,-1.9558e-12,0.0051357
7.2e-07,2.75e-07,4.4e-07,2.25e-07,4e-07,0.8,3.8268e-12,0.0030096
7.2e-07,2.75e-07,4.4e-07,2.25e-07,4e-07,0.9,-3.1914e-13,0.0039651
7.2e-07,2.75e-07,4.4e-07,2.25e-07,4e-07,1.0,-1.88e-12,0.0051483
7.2e-07,2.75e-07,4.4e-07,2.25e-07,4.4e-07,0.8,3.6753e-12,0.0030175
7.2e-07,2.75e-07,4.4e-07,2.25e-07,4.4e-07,0.9,-3.6724e-13,0.0039749
7.2e-07,2.75e-07,4.4e-07,2.25e-07,4.4e-07,1.0,-1.8171e-12,0.0051612
7.2e-07,2.75e-07,4.4e-07,2.5e-07,3.6e-07,0.8,4.2822e-12,0.0030115
7.2e-07,2.75e-07,4.4e-07,2.5e-07,3.6e-07,0.9,-9.5105e-15,0.0039695
7.2e-07,2.75e-07,4.4e-07,2.5e-07,3.6e-07,1.0,-1.7914e-12,0.0051543
7.2e-07,2.75e-07,4.4e-07,2.5e-07,4e-07,0.8,4.1076e-12,0.0030195
7.2e-07,2.75e-07,4.4e-07,2.5e-07,4e-07,0.9,-3.3595e-14,0.0039793
7.2e-07,2.75e-07,4.4e-07,2.5e-07,4e-07,1.0,-1.7013e-12,0.005167
7.2e-07,2.75e-07,4.4e-07,2.5e-07,4.4e-07,0.8,3.9614e-12,0.0030274
7.2e-07,2.75e-07,4.4e-07,2.5e-07,4.4e-07,0.9,-5.8184e-14,0.0039892
7.2e-07,2.75e-07,4.4e-07,2.5e-07,4.4e-07,1.0,-1.6251e-12,0.0051799
7.2e-07,2.75e-07,4.4e-07,2.75e-07,3.6e-07,0.8,4.523e-12,0.0030213
7.2e-07,2.75e-07,4.4e-07,2.75e-07,3.6e-07,0.9,1.9756e-13,0.0039836
7.2e-07,2.75e-07,4.4e-07,2.75e-07,3.6e-07,1.0,-1.6518e-12,0.0051729
7.2e-07,2.75e-07,4.4e-07,2.75e-07,4e-07,0.8,4.3567e-12,0.0030293
7.2e-07,2.75e-07,4.4e-07,2.75e-07,4e-07,0.9,1.9421e-13,0.0039934
7.2e-07,2.75e-07,4.4e-07,2.75e-07,4e-07,1.0,-1.547e-12,0.0051857
7.2e-07,2.75e-07,4.4e-07,2.75e-07,4.4e-07,0.8,4.2135e-12,0.0030373
7.2e-07,2.75e-07,4.4e-07,2.75e-07,4.4e-07,0.9,1.8488e-13,0.0040033
